Title,DOI,Authors,Date,VectorNoPath,Pathogen_Disease,Overlap Pathogens,Vector,ISO_code,ISO_country,Region,Method,Category,Data,Host species,Human case data,Sampling method
A cartographic tool for managing African swine fever in Eurasia: mapping wild boar distribution based on the quality of available habitats,https://doi.org/10.1111/tbed.12559,Bosch et al. ,2017,,African swine fever,,,,"Europe, Eastern Mediterranean, Asia, South-East Asia",Eurasia,mapping cases and expert opinion land cover classification of wild boar suitable habitat,"Grey data,Risk mapping",wild boar presence,Boar,,
Sero-prevalence and risk factors associated with African swine fever on pig farms in southwest Nigeria,https://doi.org/10.1186/s12917-015-0444-3,Awosanya et al.,2015,,African swine fever,,,NGA,Nigeria,SW Nigeria,Mapped seropositivity of domestic pig herds,"Prevalence mapping,Grey data",ASF positive domestic swine herds,Domestic pig,,
Assessment of the Geographic Distribution of Ornithodoros turicata (Argasidae): Climate Variation and Host Diversity,https://doi.org/10.1371/journal.pntd.0004383,Donaldson et al. ,2016,checked,African swine fever,Tick Relapsing Fever,Ornithodoros turicata,"USA,MEX","the United States of America, Mexico",US and Mexico,MaxENT and mapped tick localities,"Grey data,Ecological niche modeling","Ornithodoros turicata from literature review, databases, and field studies",,,"literature review, databases, and field studies"
Wild boar mapping using population-density statistics: From polygons to high resolution raster maps,https://doi.org/10.1371/journal.pone.0193295,Pittiglio et al.,2018,,African swine fever,,,,Europe,Western Europe and central-north Asia,Mapped wild boar density and bioclimatic suitability,Ecological niche modeling,,Boar,,
Free-ranging wild boar (Sus scrofa) in Switzerland: casual observations and in Switzerland: casual observations and model-based projections during open and closed season for hunting,https://doi.org/10.17236/sat00262,Amado et al.,2020,,African swine fever,,,CHE,Switzerland,Switzerland,"ensemble (GAM, RF, ANN, MARS, SVM, FDA)",Ecological niche modeling,wild boar presence,Boar,,
Risk Assessment of African Swine Fever Virus Exposure to Sus scrofa in Japan Via Pork Products Brought in Air Passengers' Luggage,https://doi.org/10.3390/pathogens9040302,Ito et al. ,2020,,African swine fever,,,JPN,Japan,Japan,Mapped relative risk and mean annual risk,"Endemicity mapping,Risk mapping",ASF detected in intercepted pork products,Domestic pig,,
Research and education on containment promotion in South-Western Nigeria: not missing the opportunities,https://www.researchgate.net/publication/283892652_Research_and_education_on_African_swine_fever_containment_promotion_in_South-Western_Nigeria_not_missing_the_opportunities,Agbede et al.,2009,,African swine fever,,Ornithodoros sp.,NGA,Nigeria,South western Nigeria,SaTScan and Spatial lag regression,"Cluster analysis,Grey data",ASF positive swine herds,Domestic pig,,
Understanding African swine fever outbreaks in domestic pigs in a sylvatic endemic area: the case of the South African controlled area between 1977‐2017,https://doi.org/10.1111/tbed.13632,van Rensburg et al.,2020,,African swine fever,,Ornithodoros sp.,ZAF,South Africa,northern South Africa,"Plotting outbreaks, tested for hierarchical clustering, and calculating spatial Relative Risk","Endemicity mapping,Grey data,Risk mapping,Cluster analysis,Genetic mapping",ASF outbreaks in domestic pigs,Domestic pig,,
Spatial multi-criteria decision analysis to predict suitability for African swine fever endemicity in Africa,https://doi.org/10.1186/1746-6148-10-9,Glanville et al. ,2014,,African swine fever,,"Ornithodoros moubata,Ornithodoros sp.",,Africa,mainland Africa,Spatial multi-criteria decision analysis,Risk mapping,"Pig density, boar habitat suitability, Ornithodoros tick habitat suitability",Domestic pig,,
Wild boar in focus: initial model outputs of wild boar distribution based on occurrence data and identification of priority areas for data collection,https://doi.org/10.2903/sp.efsa.2019.EN-1533,Croft et al.,2019,,African swine fever,,,,Europe,Europe,MaxEnt,Ecological niche modeling,wild boar presence,Boar,,
The Relevance of Forest Fragmentation on the Incidence of Human Babesiosis: Investigating the Landscape Epidemiology of an Emerging Tick-Borne Disease,DOI: 10.1089/vbz.2012.1198,Michael G. Walsh,2013,,Babesiosis,,,USA,the United States of America,New York,Risk map,"Prevalence modeling,Grey data",human cases,,checked,
"Human Babesia microti Incidence and Ixodes scapularis Distribution, Rhode Island, 1998–2004",doi: 10.3201/eid1304.061035,Rodgers and Mather,2007,,Babesiosis,,Ixodes scapularis,USA,the United States of America,"Rhode Island, USA",Mapped incidence and spatial logistic regression model,"Prevalence mapping,Risk mapping",Babesiosis cases and nymphal ticks,Human,checked,dragging
Species Distribution Modeling of Ixodes scapularis and Associated Pathogens in States East of the Mississippi River,https://apps.dtic.mil/sti/citations/AD1091629,"Payne,Kathleen V. Griffin,Sean P. Lyon,Susan L. Lopez,Robin E. Wayant,Nicole M.",2020,,Lyme borreliosis,"Lyme disease, anaplasmosis, babesiosis",Ixodes scapularis,USA,the United States of America,East of the Misssissippi River,Maxent,Ecological niche modeling,Surveillance data of pathogens and vector,,,
Seroprevalence of Babesia microti in blood donors from Babesia-endemic areas of the northeastern United States: 2000 through 2007,https://doi.org/10.1111/j.1537-2995.2009.02430.x,"Stephanie T. Johnson, Ritchard G. Cable, Laura Tonnetti, Bryan Spencer, Jorge Rios, and David A. Leiby",2009,,Babesiosis,,,USA,the United States of America,Northeastern US,SaTScan,"Cluster analysis,Prevalence mapping,Risk mapping",B. microti seroprevalence,Human,checked,
Zoonotic Babesia microti in the northeastern U.S.: Evidence for the expansion of a specific parasite lineage,https://doi.org/10.1371/journal.pone.0193837,"Heidi K. Goethert1,2, Philip Molloy2, , Victor Berardi2, Karen Weeks, Sam R. Telford, III",2018,,Babesiosis,,Ixodes scapularis,USA,the United States of America,Northeastern US,Phyloviz cluster analysis,Genetic mapping,human blood samples,Human,checked,
"Prevalence and Geographic Distribution of Borrelia miyamotoi in Host-Seeking Ixodes pacificus (Acari: Ixodidae) Nymphs in Mendocino County, California",doi: 10.1093/jme/tjx258,Lynn et al.,2018,,Borrelia miyamotoi,,Ixodes pacificus,USA,the United States of America,"California, USA","Mapped abudance with maximum likelihood estimation, cluster analysis (Moran's I)","Prevalence mapping,Cluster analysis",Ticks screened for pathogens,,,dragging
"Current and Future Distribution of the Lone Star Tick, Amblyomma americanum (L.) (Acari: Ixodidae) in North America",https://doi.org/10.1371/journal.pone.0209082,Raghavan et al.,2019,checked,Bourbon virus,"Heartland virus, Rickettsia rickettsii",,"USA,CAN,MEX","the United States of America, Canada, Mexico, Central America",North America,MaxEnt,"Ecological niche modeling,Grey data",Tick locations from WRBU,,,
"Risk Assessment Mapping for Zoonoses, Bioagent Pathogens, and Vectors at Edgewood Area, Aberdeen Proving Ground, Maryland",PMID: 30165720 ,Kollars et al.,2018,,Bourbon virus,"Heartland virus, Ehrlichiosis",,USA,the United States of America,"Maryland, USA",BioTEMS,Risk mapping,NA,,,
The trend towards habitat fragmentation is the key factor driving the spread of Crimean-Congo haemorrhagic fever, https://doi.org/10.1017/S0950268809991026,ESTRADA-PEÑA et al.,2009,,Crimean-Congo haemorrhagic fever,,Hyalomma marginatum,TUR,Turkey,Turkey,Mapped CCHF cases,Grey data,,Human,checked,
embarcadero: Species distribution modelling with Bayesian additive regression trees in r, https://doi.org/10.1111/2041-210X.13389,Carlson,2020,,Crimean-Congo haemorrhagic fever,,Hyalomma truncatum,,Africa,Africa,BART,Ecological niche modeling,Published tick data,,,
Zero-inflated poisson model to identify risk factors of human Crimean-Congo hemorrhagic fever in Pakistan,DOI 10.2376/0005-9366-15131,Abbas and Riaz,2017,,Crimean-Congo haemorrhagic fever,,Hyalomma sp.,PAK,Pakistan,Pakistan,Mapped prevalence  ,Endemicity mapping,CCHF cases   ,Human,checked,
"Evaluation of epidemiological, clinical, and laboratory characteristics and mortality rate of patients with Crimean-Congo hemorrhagic fever in the northeast region of Turkey",doi: 10.4103/0972-9062.249479,Karakaceli et al. ,2019,,Crimean-Congo haemorrhagic fever,,Hyalomma marginatum,TUR,Turkey,Turkey,Hotspot mapping (Euclidean distance),"Grey data,Risk mapping",CCHF cases,Human,checked,
Spatial Analysis of Crimean Congo Hemorrhagic Fever in Iran,DOI: https://doi.org/10.4269/ajtmh.12-0509,Mostafavi et al.,2013,,Crimean-Congo haemorrhagic fever,,Hyalomma sp.,IRN,Islamic Republic of Iran,Iran,Getis-Ord,"Cluster analysis,Risk mapping,Prevalence mapping,Grey data",Human and livestock cases,"Human,Sheep,Cattle,Goat",checked,
A prospective prediction tool for understanding Crimean–Congo haemorrhagic fever dynamics in Turkey,doi: 10.1016/j.cmi.2019.05.006,Ak et al.,2020,,Crimean-Congo haemorrhagic fever,,Hyalomma marginatum,TUR,Turkey,Turkey,Spatial predictions with Gaussian process algorithm,"Endemicity mapping,Prevalence mapping,Prevalence modeling",CCHF cases,Human,checked,
Spatial cluster analysis of human cases of Crimean Congo hemorrhagic fever reported in Pakistan,doi: 10.1186/2049-9957-4-9,Abbas et al.,2015,,Crimean-Congo haemorrhagic fever,,,PAK,Pakistan,Pakistan,"SaTScan, Anselin’s Local Moran’s I and Getis Ord Gi*",Cluster analysis,CCHF cases,Human,checked,
The Influence of Interspecific Competition and Host Preference on the Phylogeography of Two African Ixodid Tick Species,doi: 10.1371/journal.pone.0076930,Cangi et al.,2013,checked,Crimean-Congo haemorrhagic fever,R. conorii,Hyalomma rufipes,,Africa,Africa,Maxent,"Ecological niche modeling,Grey data,Genetic mapping",Tick occurrences ,,,Collection records
"Prevalence of Crimean-Congo Hemorrhagic Fever Virus in Healthy Population, Livestock and Ticks in Kosovo",doi: 10.1371/journal.pone.0110982,Fajs et al.,2014,,Crimean-Congo haemorrhagic fever,,Hyalomma sp.,SRB,Serbia,Kosovo,Mapped seroprevalence,Prevalence mapping,"CCHF seroprevalence in humans, livestock, and ticks","Human,Sheep,Cattle,Goat",checked,collected from livestock
"Epidemiologic Features and Risk Factors of Crimean–Congo Hemorrhagic Fever in Samsun Province, Turkey",doi: 10.2188/jea.JE20120097,Sisman ,2013,,Crimean-Congo haemorrhagic fever,,Hyalomma sp.,TUR,Turkey,Turkey,Mapped incidence and case distribution,"Prevalence mapping,Grey data",CCHF cases,Human,checked,
Vectorborne diseases in West Africa: geographic distribution and geospatial characteristics,doi:10.1093/trstmh/trt020,Ratmanov et al.,2013,,Crimean-Congo haemorrhagic fever,,Hyalomma sp.,"SEN,GMB,GNQ,SLE,LBR,MLI,CIV,BFA,GHA,TGO,BEN,NER,NGA","Senegal, Gambia, Equatorial Guinea, Sierra Leone, Liberia, Mali, Cote d'Ivoire, Burkina Faso, Ghana, Togo, Benin, Niger, Nigeria",West Africa,Mapped distribution of CCHF and Hyalomma ticks,Endemicity mapping,CCHF from WHO,Human,checked,
Translating Predictions of Zoonotic Viruses for Policymakers,https://doi.org/10.1007/s10393-017-1304-3,Judson et al.,2018,,Crimean-Congo haemorrhagic fever,,Hyalomma sp.,CMR,Cameroon,Cameroon,Plotted cases over previously published spatial predictions,Grey data,,Human,checked,
"Spatial cluster analysis of Crimean-Congo hemorrhagic fever virus seroprevalence in humans, Greece",https://doi.org/10.1016/j.parepi.2016.08.002,Papa et al.,2016,,Crimean-Congo haemorrhagic fever,,"Hyalomma marginatum,Rhipicephalus sp.",GRC,Greece,Greece,"mapped prevalence, Moran's I, GWR","Prevalence mapping,Risk mapping,Prevalence modeling,Cluster analysis",Human seroprevalence from literature,Human,checked,
Space-time epidemiology of Crimean-Congo hemorrhagic fever (CCHF) in Iran,https://doi.org/10.1016/j.ttbdis.2017.09.006,Ahmadkhani et al.,2018,,Crimean-Congo haemorrhagic fever,,Hyalomma sp.,IRN,Islamic Republic of Iran,Iran,Mapped incidence and SaTScan,"Endemicity mapping,Prevalence mapping,Cluster analysis",CCHF cases,Human,checked,
"Local, national, and regional viral haemorrhagic fever pandemic potential in Africa: a multistage analysis",https://doi.org/10.1016/S0140-6736(17)32092-5,Pigott et al.,2017,,Crimean-Congo haemorrhagic fever,,,,Africa,Africa,Mapped pandemic potential,Risk mapping,Previously published datasets,,,
The Geographic Distribution of Crimean-Congo Hemorrhagic Fever in Tajikistan and Central Asia,https://doi.org/10.1080/23754931.2016.1250669,Deka,2016,,Crimean-Congo haemorrhagic fever,,,TJK,Tajikistan,Tajikistan and Central Asia,Maxent   ,Ecological niche modeling,,,,
Crimean-Congo Hemorrhagic Fever Geographic and Environmental Risk Assessment in the Balkan and Anatolian Peninsulas,https://doi.org/10.1080/23754931.2017.1378122,Deka,2017,,Crimean-Congo haemorrhagic fever,"In addition to Hyalomma, Amblyomma, Rhipicephalus, Boophilus, Dermacentor, and Ixodes ticks all share linkages to human transmission",Hyalomma marginatum,"GRC,TUR","Greece, Turkey","Balkans, Greece, Turkey",MaxEnt and SaTScan,"Ecological niche modeling,Cluster analysis",Outbreak occurrences from databases,,,
Modeling the spatial distribution of Crimean-Congo hemorrhagic fever outbreaks in Turkey,https://doi.org/10.1089/vbz.2007.0134,Estrada-Pena et al.,2007,,Crimean-Congo haemorrhagic fever,,Hyalomma marginatum,TUR,Turkey,Turkey,MaxEnt and SaTScan,"Ecological niche modeling,Cluster analysis",CCHF cases from DoH,Human,checked,
The global distribution of Crimean-Congo hemorrhagic fever,https://doi.org/10.1093/trstmh/trv050,Messina et al.,2015,,Crimean-Congo haemorrhagic fever,,Hyalomma sp.,,Global,Global,BRT,Ecological niche modeling,CCHF cases   ,Human,checked,
A comprehensive survey of the prevalence and spatial distribution of ticks infesting cattle in different agro-ecological zones of Cameroon,https://doi.org/10.1186/s13071-019-3738-7,Silatsa et al.,2019,checked,Crimean-Congo haemorrhagic fever,,Hyalomma rufipes,CMR,Cameroon,Cameroon,Mapped occurrences of tick species,Grey data,Ticks collected from cattle,,,
"Distribution of ticks (Acari: Ixodidae) infesting domestic ruminants in mountainous areas of Golestan Province, Iran",https://doi.org/10.12980/APJTB.4.2014C746,Sarani et al.,2014,checked,Crimean-Congo haemorrhagic fever,,"Hyalomma anatolicum,Rhipicephalus sanguineus",IRN,Islamic Republic of Iran,Iran,Mapped tick occurrences,Grey data,Ticks collected from livestock,,,
Clinical and molecular epidemiology of Crimean-Congo hemorrhagic fever in Oman,https://doi.org/10.1371/journal.pntd.0007100,El-Abri et al.,2019,,Crimean-Congo haemorrhagic fever,,Hyalomma sp.,OMN,Oman,Oman,Mapped human cases over animal and tick seroprevalence,"Grey data,Prevalence mapping",CCHF cases,Human,checked,
An early warning system for Crimean-Congo haemorrhagic fever seasonality in Turkey based on remote sensing technology,https://doi.org/10.4081/gh.2007.261,Estrada-Peña et al.,2007,,Crimean-Congo haemorrhagic fever,,Hyalomma marginatum,TUR,Turkey,Turkey,Plotted cases over NDVI,Grey data,CCHF cases   ,Human,checked,
Maximum Entropy-Based Ecological Niche Model and Bio-Climatic Determinants of Lone Star Tick (Amblyomma americanum) Niche,doi: 10.1089/vbz.2015.1837,Raghavan et al.,2016,checked,Ehrlichiosis,"Heartland virus, tularemia, STARI",Amblyomma americanum,USA,the United States of America,"Kansas, USA",MaxEnt,Ecological niche modeling,Tick occurrences,,,"Databases and museum records (WRBU, Smithsonian, Kansas University Museum)"
"Seroprevalence of Ehrlichia canis, Ehrlichia chaffeensis and Ehrlichia ewingii in dogs in North America",doi: 10.1186/1756-3305-5-29,Beall et al,2012,,Ehrlichiosis,,Amblyomma americanum,USA,the United States of America,eastern USA,Mapped seroprevalence,"Endemicity mapping,Prevalence mapping",Seroprevalence in domestic dogs,Domestic dog,,
Predicted Northward Expansion of the Geographic Range of the Tick Vector Amblyomma americanum in North America under Future Climate Conditions,doi: 10.1289/EHP5668,Sagurova et al.,2019,,Ehrlichiosis,"Francisella tularensis (tularemia), Rickettsia rickettsii (Rocky Mountain spotted fever) and Heartland virus",Amblyomma americanum,"USA,CAN","the United States of America, Canada",USA and Canada,simulations with dynamic population models,"Prevalence modeling,Risk mapping",,,,
Bayesian Spatio-Temporal Analysis and Geospatial Risk Factors of Human Monocytic Ehrlichiosis,doi: 10.1371/journal.pone.0100850,Raghavan et al.,2014,,Ehrlichiosis,,Amblyomma americanum,USA,the United States of America,"Kansas, USA",Mapped crude rates and smoothed relative risk by year,"Prevalence mapping,Risk mapping",Human cases reported to DOH,Human,checked,
Habitat and Vegetation Variables Are Not Enough When Predicting Tick Populations in the Southeastern United States,doi: 10.1371/journal.pone.0144092,Trout Fryxell et al.,2015,checked,Ehrlichiosis,"Tularemia, Heartland Virus, Rickettsia parkeri, Rickettsia rickettsii","Amblyomma americanum,Dermacentor variabilis,Amblyomma maculatum",USA,the United States of America,"Tennessee, USA",SaTScan,Cluster analysis,Tick occurrences,,,"CO2-dry ice traps, conventional dragging, CO2-dragging, and CO2-flagging"
"Spatial Analysis of Human Granulocytic Ehrlichiosis near Lyme, Connecticut",doi: 10.3201/eid0809.020103,Chaput et al. ,2002,,Ehrlichiosis,,Ixodes scapularis,USA,the United States of America,"Connecticut, USA","Mapped cases, smoothed incidence, and cluster analysis","Grey data,Prevalence mapping,Cluster analysis",Human cases via active and passive surveillance systems,Human,checked,
Modeling Potential Habitat for Amblyomma Tick Species in California,doi: 10.3390/insects10070201,Pascoe et al.,2019,checked,Ehrlichiosis,"Panola Mountain Ehrlichia sp., Francisella tularensis (tularemia), Rickettsia rickettsii (Rocky Mountain Spotted Fever), Rickettsia parkeri, Heartland Virus ","Amblyomma americanum,Amblyomma maculatum,Amblyomma cajennense,Amblyomma mixtum",USA,the United States of America,"California, USA",MaxEnt,"Ecological niche modeling,Endemicity mapping,Grey data",Tick occurrences,,,Published literature and public databases
"Occurrence of Amblyomma americanum (Acari: Ixodidae) and Human Infection With Ehrlichia chaffeensis in Wisconsin, 2008–2015 ",https://doi.org/10.1093/jme/tjw218,Christenson et al.,2017,,Ehrlichiosis,,Amblyomma americanum,USA,the United States of America,"Wisconsin, USA",Mapped cases and tick density,Prevalence mapping,Public health surveillance data and collected ticks,Human,checked,"Sampled from deer and passively from veterinary clinics, small mammal trapping, dragging"
Estimating the Geographic Distribution of Host-Seeking Adult Amblyomma americanum (Acari: Ixodidae) in Florida,https://doi.org/10.1093/jme/tjy147,Kessler et al.,2018,checked,Ehrlichiosis,"E. ewingii, Tularemia (Francisella tularensis)",Amblyomma americanum,USA,the United States of America,"Florida, USA",Logistic regression,"Grey data,Risk mapping",Adult ticks collected via flagging,,,flagging
Spatial Distribution of Counties in the Continental United States With Records of Occurrence of Amblyomma americanum (Ixodida: Ixodidae),https://doi.org/10.1603/ME13115,Springer et al.,2014,checked,Ehrlichiosis,"Panola Mountain Ehrlichia sp., Francisella tularensis (tularemia), Rickettsia rickettsii (Rocky Mountain Spotted Fever), Rickettsia parkeri, Heartland Virus ",Amblyomma americanum,USA,the United States of America,USA,Mapped vector occurrence records,Endemicity mapping,Tick occurrences ,,,published literature and databases
"SPATIAL ANALYSIS OF THE DISTRIBUTION OF EHRLICHIA CHAFFEENSIS, CAUSATIVE AGENT OF HUMAN MONOCYTOTROPIC EHRLICHIOSIS, ACROSS A MULTI-STATE REGION",https://doi.org/10.4269/ajtmh.2005.72.840,Yabsley et al.,2005,,Ehrlichiosis,,Amblyomma americanum,USA,the United States of America,Eastern and Central United States,"Plotted seropositive white-tailed deer, kriging, LR model, mapped human incidence","Grey data,Risk mapping,Endemicity mapping",White-tailed deer serum samples,White-tailed deer,,
Modeling the Asian Longhorned Tick (Acari: Ixodidae) Suitable Habitat in North America ,https://doi.org/10.1093/jme/tjy210,Rochlin,2019,checked,Heartland virus,"Huaiyangshan virus, Ehrlichia, Anaplasma, and Borrelia spp.",Haemaphysalis longicornis,AUS,Australia,"East Asia, Australia, North America",MaxEnt,"Ecological niche modeling,Grey data,Endemicity mapping",H. longicornis records from literature,,,
Current status of severe fever with thrombocytopenia syndrome in China,doi: 10.1007/s12250-016-3931-1,Zhan et al.,2017,,Huaiyangshan,,Haemaphysalis longicornis,CHN,China,China,mapped prevalence,"Grey data,Prevalence mapping",SFTS cases,Human,checked,
"Potential Spatial Distribution of the Newly Introduced Long-horned Tick, Haemaphysalis longicornis in North America",doi: 10.1038/s41598-018-37205-2,Raghavan et al.,2019,checked,Huaiyangshan,Lyme borreliosis,Haemaphysalis longicornis,"USA,CAN,MEX","the United States of America, Canada, Mexico, Central America",North America,Maxent,"Ecological niche modeling,Grey data",Tick occurrences,,,WRBU database and field data
"A National Assessment of the Epidemiology of Severe Fever with Thrombocytopenia Syndrome, China",doi: 10.1038/srep09679,Liu et al.,2015,,Huaiyangshan,,Haemaphysalis longicornis,CHN,China,China,SaTScan and BRT,"Cluster analysis,Ecological niche modeling,Prevalence mapping",SFTS cases,Human,checked,
Mapping the global potential transmission hotspots for severe fever with thrombocytopenia syndrome by machine learning methods,doi: 10.1080/22221751.2020.1748521,Miao et al.,2020,,Huaiyangshan,,Haemaphysalis longicornis,,Global,Global,"Maxent on ticks, BRT on cases, mapped incidence","Prevalence mapping,Ecological niche modeling",SFTS cases and tick occurrences,Human,checked,Published databases
"Spatial epidemiological determinants of severe fever with thrombocytopenia syndrome in Miyazaki, Japan: a GWLR modeling study",doi: 10.1186/s12879-019-4111-3,Yasuo and Nishiura,2019,,Huaiyangshan,,,JPN,Japan,Japan,geographically weighted logistic regression (GWLR),"Grey data,Risk mapping",SFTS cases,Human,checked,
"Spatial-temporal characteristics of severe fever with thrombocytopenia syndrome and the relationship with meteorological factors from 2011 to 2018 in Zhejiang Province, China",doi: 10.1371/journal.pntd.0008186,Wu et al.,2020,,Huaiyangshan,,,CHN,China,China,Mapped incidence and multivariate time series analysis,Prevalence mapping,SFTS cases,Human,checked,
"Epidemiological Characteristics and Environmental Risk Factors of Severe Fever with Thrombocytopenia Syndrome in Hubei Province, China, from 2011 to 2016",doi: 10.3389/fmicb.2017.00387,Wang et al.,2017,,Huaiyangshan,,Haemaphysalis longicornis,CHN,China,China,mapped incidence,Prevalence mapping,SFTS cases,Human,checked,
Spatial Analysis of Severe Fever with Thrombocytopenia Syndrome Virus in China Using a Geographically Weighted Logistic Regression Model,doi: 10.3390/ijerph13111125,Wu wt al. ,2016,,Huaiyangshan,,Haemaphysalis longicornis,CHN,China,China,geographically weighted logistic regression (GWLR),"Endemicity mapping,Risk mapping",SFTS georeferenced sequences,Human,checked,
Spatial heterogeneity of climate and land‐cover constraints on distributions of tick‐borne pathogens, https://doi.org/10.1111/j.1466-8238.2007.00353.x,Wimberly et al. ,2008,,Human anaplasmosis,EHRLICHIA CHAFFEENSIS,Ixodes scapularis,USA,the United States of America,Eastern and Central United States,geographically weighted regression,"Grey data,Prevalence modeling,Cluster analysis",White-tailed deer serum samples,White-tailed deer,,
Molecular detection of Anaplasma phagocytophilum and Borrelia burgdorferi sensu lato genospecies in red foxes (Vulpes vulpes) from Romania,doi: 10.1186/s13071-015-1130-9,Dumitrache et al.,2015,,Human anaplasmosis,Lyme borreliosis,Ixodes ricinus,ROU,Romania,Romania,Mapped positive samples,Grey data,Fox tissue samples screened for pathogens,Wild canid,,
Spatiotemporal dynamics of emerging pathogens in questing Ixodes ricinus,doi: 10.3389/fcimb.2013.00036,Coipan et al.,2013,,Human anaplasmosis,Lyme borreliosis and Babesia spp.,Ixodes ricinus,NLD,the Netherlands,Netherlands,Mapped presence and absence of ticks with infections,Grey data,Ticks screened for pathogens,,,drag sampling
Spatio-Temporal Dynamics of Tick-Borne Diseases in North-Central Wisconsin from 2000–2016,doi: 10.3390/ijerph17145105,Rau et al.,2020,,Human anaplasmosis,"Ehrlichiosis, babesiosis",Ixodes scapularis,USA,the United States of America,"Wisconsin, USA",SaTScan and mapped incidence,"Prevalence mapping,Cluster analysis",Health department cases,Human,checked,
"Recent Emergence of Anaplasma phagocytophilum in Ontario, Canada: Early Serological and Entomological Indicators",doi: 10.4269/ajtmh.19-0166,Nelder et al.,2019,,Human anaplasmosis,,Ixodes scapularis,CAN,Canada,"Ontario, Canada",Mapped human and tick seroprevalence,Prevalence mapping,Anaplasmosis cases and screened ticks,Human,checked,passive surveillance
Fine-scale genetic structure of woodrat populations (Genus: Neotoma) and the spatial distribution of their tick-borne pathogens,https://doi.org/10.1016/j.ttbdis.2015.10.017,Foley et al. ,2016,,Human anaplasmosis,B. burgdorferi ,Ixodes pacificus,USA,the United States of America,"study area in N. California, USA","plotting positive rodent hosts, with inverse distance weighting",Grey data,woodrat serology,Rodent,,
